docketId,caseId,dateDecision,decisionType,term,naturalCourt,chief,docket,issue,issueArea,decisionDirection,declarationUncon,caseDisposition,partyWinning,Reversal,majVotes,minVotes,voteAFortas,directionAFortas,majorityAFortas,voteAJGoldberg,directionAJGoldberg,majorityAJGoldberg,voteAMKennedy,directionAMKennedy,majorityAMKennedy,voteAScalia,directionAScalia,majorityAScalia,voteBRWhite,directionBRWhite,majorityBRWhite,voteCEWhittaker,directionCEWhittaker,majorityCEWhittaker,voteCThomas,directionCThomas,majorityCThomas,voteDHSouter,directionDHSouter,majorityDHSouter,voteEKagan,directionEKagan,majorityEKagan,voteEWarren,directionEWarren,majorityEWarren,voteFFrankfurter,directionFFrankfurter,majorityFFrankfurter,voteFMVinson,directionFMVinson,majorityFMVinson,voteFMurphy,directionFMurphy,majorityFMurphy,voteHABlackmun,directionHABlackmun,majorityHABlackmun,voteHHBurton,directionHHBurton,majorityHHBurton,voteHLBlack,directionHLBlack,majorityHLBlack,voteJGRoberts,directionJGRoberts,majorityJGRoberts,voteJHarlan2,directionJHarlan2,majorityJHarlan2,voteJPStevens,directionJPStevens,majorityJPStevens,voteLFPowell,directionLFPowell,majorityLFPowell,voteNMGorsuch,directionNMGorsuch,majorityNMGorsuch,votePStewart,directionPStewart,majorityPStewart,voteRBGinsburg,directionRBGinsburg,majorityRBGinsburg,voteRHJackson,directionRHJackson,majorityRHJackson,voteSAAlito,directionSAAlito,majoritySAAlito,voteSDOConnor,directionSDOConnor,majoritySDOConnor,voteSFReed,directionSFReed,majoritySFReed,voteSGBreyer,directionSGBreyer,majoritySGBreyer,voteSMinton,directionSMinton,majoritySMinton,voteSSotomayor,directionSSotomayor,majoritySSotomayor,voteTCClark,directionTCClark,majorityTCClark,voteTMarshall,directionTMarshall,majorityTMarshall,voteWBRutledge,directionWBRutledge,majorityWBRutledge,voteWEBurger,directionWEBurger,majorityWEBurger,voteWHRehnquist,directionWHRehnquist,majorityWHRehnquist,voteWJBrennan,directionWJBrennan,majorityWJBrennan,voteWODouglas,directionWODouglas,majorityWODouglas
1946-005-01,1946-005,1946-Nov-25,1,1946,1301,Vinson,50,80060,8,2,1,3,1,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,1,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,2,1,0,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-006-01,1946-006,1946-Nov-25,1,1946,1301,Vinson,46,80100,8,1,3,3,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1
1946-007-01,1946-007,1946-Nov-25,1,1946,1301,Vinson,4,80120,8,2,1,2,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,0,1,1,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,,,,,,,,,,,,
1946-007-02,1946-007,1946-Nov-25,1,1946,1301,Vinson,5,80120,8,2,1,2,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,0,1,1,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,,,,,,,,,,,,
1946-008-01,1946-008,1946-Dec-09,1,1946,1301,Vinson,11,90200,9,1,1,5,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1
1946-009-01,1946-009,1946-Dec-09,1,1946,1301,Vinson,25,70190,7,1,1,7,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1
1946-010-01,1946-010,1946-Dec-09,1,1946,1301,Vinson,42,80030,8,2,1,2,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,0,1,1,0,1,,,,3,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-010-02,1946-010,1946-Dec-09,1,1946,1301,Vinson,44,80030,8,2,1,2,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,0,1,1,0,1,,,,3,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-010-03,1946-010,1946-Dec-09,1,1946,1301,Vinson,43,80030,8,2,1,2,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,0,1,1,0,1,,,,3,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-010-04,1946-010,1946-Dec-09,1,1946,1301,Vinson,45,80030,8,2,1,2,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,0,1,1,0,1,,,,3,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
