id,Rehnquist,Stevens,OConnor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
162,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0
165,0,,1,0,0,0,0,0,1
166,0,1,0,0,1,1,0,0,1
167,0,1,0,0,1,1,0,0,1
168,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0
170,1,1,0,0,1,1,0,1,1
171,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0
177,1,1,1,1,1,1,1,1,1
178,0,1,0,0,0,1,0,1,1
179,0,1,0,0,0,1,0,1,1
180,0,1,1,0,0,1,0,1,1
181,0,1,1,0,0,1,0,1,1
182,1,1,1,1,1,1,1,1,1
183,1,1,1,1,1,1,1,1,1
184,1,1,1,1,1,1,1,1,1
185,0,1,1,0,0,1,0,1,1
186,0,1,0,0,0,0,0,0,0
187,0,1,0,0,0,0,0,0,0
188,0,1,0,0,0,0,0,0,0
189,0,1,0,0,0,1,0,1,0
190,1,1,1,1,1,1,1,1,1
191,0,0,0,0,0,0,0,0,0
192,0,1,0,0,1,1,0,1,1
193,0,1,0,0,1,0,0,0,0
194,,1,1,,1,1,,1,1
195,0,1,0,0,0,0,0,0,0
196,1,1,1,1,1,1,1,1,1
197,1,1,1,1,1,1,1,1,1
198,1,1,1,1,1,1,1,1,1
199,1,1,1,1,1,1,1,1,1
200,,1,1,,1,1,,1,1
201,1,0,0,1,0,0,1,1,0
202,0,1,1,0,1,1,0,1,1
203,0,1,0,1,1,1,0,1,1
204,0,1,0,1,1,1,0,1,1
205,1,1,1,1,1,1,0,1,1
206,1,1,1,0,1,1,1,1,1
207,1,1,1,1,1,1,1,1,1
208,1,1,1,1,1,1,1,1,1
209,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0
